sample,ILC_LumA_T,IDC_LumB_T,IDC_LumA_T,IDC_Basal_T,IDC_Her2_T
PAMR1,1.3196,-0.3752,0.8286,-0.0425,0.2998
CLSTN3,4.7622,4.42,4.5584,4.7225,4.404
KHDRBS1,6.1084,6.3026,6.2452,6.3219,6.2264
BCAS1,3.011,3.3792,3.3039,-2.2447,3.3395
STK26,2.5048,2.959,2.4584,3.6474,2.6772
EHMT2,5.0774,4.9684,4.9268,5.505,5.0382
SNX29,2.3408,2.0776,2.2872,1.7141,2.1344
GABRP,2.8175,-0.5756,1.7074,7.8936,0.612
E2F5,2.609,3.4914,2.8402,3.8769,2.5767
RICTOR,2.2435,2.1476,2.2482,1.8323,1.9168
RASA3,2.8926,2.2466,2.7018,2.727,2.6148
MFSD14B,4.4598,4.6318,4.5445,4.7464,4.7247
NUCKS1,6.3212,6.5197,6.2492,6.5531,6.5223
KLHL4,-2.4659,-3.2395,-2.5479,-3.816,-3.1092
HSPBP1,4.5321,4.3477,4.2724,4.5411,4.3338
ZNF576,3.511,3.2856,3.3675,3.6254,3.1873
ZNF529,2.205,1.8762,1.9072,2.081,1.6044
IL1B,1.0255,0.9153,1.148,1.8722,0.8899
SYT1,1.5264,2.0792,1.5987,-1.8836,-2.086
MT1HL1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
GBP4,3.1971,2.9838,2.6185,3.4713,3.2158
DNAJC30,2.7249,2.7508,2.6726,2.4779,2.622
SETD9,3.2428,3.0287,3.2328,2.561,2.7394
ROPN1,-1.685,-6.5064,-3.458,3.716,-4.2934
CCDC27,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SREBF2,4.7383,4.9379,4.696,4.8709,5.2008
THAP2,1.305,1.3901,1.4678,1.7009,1.42
CD5,1.1608,0.1124,0.1256,1.0222,0.6607
GMFG,4.7239,4.006,4.2269,4.6381,4.473
PCNX2,2.6406,2.3106,2.383,2.7379,1.914
PRPS1,4.4091,4.5426,4.3184,4.322,4.4203
KCTD19,-3.3828,-4.035,-4.6082,-4.035,-5.0116
MB21D1,0.923,1.3225,0.938,2.2144,0.8805
TNIP3,-2.8262,-2.9324,-3.458,-1.5522,-1.7322
ANXA9,4.1729,4.3671,4.47,0.1776,2.3074
NUDT16,3.4014,3.2166,3.2297,2.4198,2.8966
TAOK2,4.317,4.0086,4.1028,3.4739,3.9654
NAPA,7.0876,6.9654,7.1106,6.4396,6.8806
LRIT3,-2.4659,-2.9324,-2.8262,-3.816,-3.458
KRTAP12-2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
GBA,5.4645,5.8434,5.6416,5.7522,5.8228
FBXO18,4.8138,4.5494,4.6699,5.3009,4.8587
DRAM1,3.0384,3.4176,3.1955,3.5274,3.2935
NMUR1,-3.0469,-3.816,-3.816,-2.6349,-3.816
MIOS,3.727,3.6938,3.7646,3.2541,3.6847
MRPS26,5.2306,5.2188,5.1562,5.1899,5.2239
CTNNA2,-5.5735,-5.5735,-5.0116,-6.5064,-5.0116
BRF2,3.298,3.3938,3.3213,3.1294,3.149
PDZD11,5.4498,5.732,5.6015,5.36,5.5774
OSCP1,3.6503,3.2885,3.781,2.2633,2.8259
OSR2,2.5606,2.7139,2.4465,1.683,2.0757
BECN1,5.872,5.834,5.924,5.0558,5.3088
CFLAR,4.3737,4.1958,4.1211,4.9778,4.514
GALNT3,3.1486,3.9454,3.6532,4.8525,4.848
DMC1,-0.3383,-0.0878,-0.7588,0.3907,0.0085
SLA2,-0.0574,-0.5652,-0.9686,0.3231,-0.0806
CCNK,4.1186,4.4621,4.2928,4.2181,4.594
ZNF627,3.3897,3.2653,3.4438,2.8361,2.993
MBLAC2,1.3254,1.3901,1.3735,0.5271,0.4014
FAM49B,5.1412,6.0024,5.2674,5.9844,5.7011
SLC6A11,-3.542,-3.6259,-3.3828,0.9935,-0.9711
DOK2,1.7616,1.1144,0.7664,1.8323,1.5035
LMO2,3.5086,2.5363,3.0011,2.6579,2.6217
TNNC1,-0.1114,-1.3548,-0.9132,-1.1488,-2.0236
RPS6KA6,0.3346,0.8205,0.5617,-0.3383,-0.2846
ULBP1,-2.9896,-2.2797,-2.6349,0.044,-1.5528
CASP10,1.2666,0.6562,0.6969,0.8327,1.7596
CCT3,7.5473,7.9422,7.6664,8.2337,7.9017
ZNF263,4.4803,4.5705,4.5799,3.9403,4.1082
AADACL3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SLC7A2,3.6234,4.3298,5.0985,-0.4719,1.7492
ZNF225,0.8883,0.7874,0.8726,0.1124,0.6097
PHF21A,3.685,3.5905,3.5833,3.7072,3.22
SPATA31A1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CCDC171,0.24,-0.0204,0.2154,0.1124,-0.4132
NTAN1,4.8181,4.963,4.8763,5.1355,5.0126
CELSR1,5.5108,5.2181,5.3014,2.9784,3.6976
ASCC2,4.7197,4.7005,4.5544,4.7971,5.058
ACOT8,3.8846,4.24,3.8993,4.1351,4.1555
ESYT2,4.7924,4.7918,4.8674,5.2227,4.6818
RANBP2,3.8079,3.7746,3.87,3.831,3.9216
COX6B1,7.9726,8.079,8.0065,8.2084,8.2529
CIT,1.2116,2.081,1.4494,2.0979,1.6535
NXF2B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ARSK,1.3397,1.1447,1.0043,0.7748,0.9678
VPS26A,4.7058,4.8915,4.7845,4.8704,4.7645
SPAG8,-0.0801,-0.4623,-0.1829,-1.3548,-1.511
CXCR4,5.78,5.1999,5.155,5.9725,5.6805
FLVCR1,2.5049,3.1426,2.5437,2.6828,2.6994
FARP2,3.5016,3.3938,3.4217,3.0637,3.4376
TOP1,5.016,5.5569,5.3124,5.1807,5.5656
OR11A1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
KIAA1024L,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZNF510,1.9858,1.886,2.0552,1.4859,1.8672
HTATSF1,4.9407,5.2964,5.1,5.4702,5.3333
PRR36,3.1709,3.0225,3.117,1.5216,2.0732
STRA8,-9.9658,-9.9658,-9.9658,-2.7274,-5.0116
PRG3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TBXA2R,0.0158,-0.2584,-0.1031,-0.3022,0.0014
TMEM161A,3.9318,3.8837,3.7132,4.2442,3.5705
RFWD3,2.6418,3.1556,2.8199,3.8401,3.4464
MXI1,4.235,3.8314,4.0981,4.1318,3.8646
ZNF654,1.9601,2.0165,1.9582,1.5366,1.9911
ALPP,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
ZNF274,3.398,3.1062,3.0411,3.2405,3.0942
OR1N1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TTLL12,4.453,4.7913,4.6996,4.8876,4.7344
FAT4,0.1388,-1.3188,-0.5023,-1.7322,-1.2312
GIPC2,-0.5127,-2.6349,-1.6394,-2.4659,-2.4272
GPM6B,1.4468,0.45,1.1283,2.9338,1.1084
ST6GALNAC3,-0.1345,-1.1488,-0.7108,-0.8084,-1.3183
AEBP1,7.8221,7.2682,7.8362,6.6205,7.3714
COX6A2,-3.721,-2.9366,-3.6259,-3.6259,-9.9658
HHLA2,-5.5735,-6.5064,-6.5064,-5.0116,-5.5735
VGLL1,-0.7715,-3.816,-1.9942,5.1119,-0.6594
CFAP54,-2.6811,-2.3147,-2.4659,-2.4659,-2.3884
ABHD11,5.152,5.4632,5.2338,5.0833,5.5711
KNSTRN,3.034,4.0362,3.335,4.3306,3.9336
ASB10,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SUSD4,3.5299,3.4074,3.3192,3.5572,1.5806
NOXO1,-1.9942,-2.1779,-2.0834,-0.0425,-1.7818
PFDN1,5.6485,5.6159,5.698,5.3695,5.6495
IARS,4.9533,5.4208,5.1071,5.3176,5.3654
MGARP,-1.4502,-2.7274,-2.1779,-2.8262,-2.9896
PRLH,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CATIP,-1.9379,-2.1779,-1.7809,-3.816,-3.3076
CD46,7.0834,6.993,6.9962,5.8415,6.7378
FSTL4,0.0299,0.119,0.0717,-3.0469,0.0782
SRD5A2,-4.2934,-4.2934,-3.721,-4.6082,-3.458
XPA,3.3848,3.1836,3.3163,2.5731,2.6974
SLC24A1,2.8819,2.7084,2.822,1.7403,1.9242
GMNN,3.4758,4.1342,3.5085,4.3903,4.142
TMEM205,7.0309,7.0292,6.9638,5.6479,6.7296
E2F1,1.9572,3.5015,2.167,3.7667,3.2956
EEF1G,10.2789,9.8457,10.0524,10.5055,9.9899
THSD4,4.5531,4.1654,4.8033,0.24,1.8098
TSPO,6.8102,6.3459,6.3433,7.3032,6.5519
PEAK1,2.6243,2.108,2.5176,2.1509,2.1505
KRTAP2-4,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
KAZALD1,2.85,3.1277,2.8442,1.8957,3.7351
GTF3C4,2.874,3.002,2.9866,2.6738,3.0515
PI15,0.1256,-1.4305,-0.2672,0.9268,-1.3005
PTP4A2,7.6942,7.9489,7.9466,7.1267,7.4847
HIST1H2BD,4.805,5.7432,5.9306,4.4647,5.5049
TYW1,3.3378,3.3264,3.3766,3.0927,3.1343
ELF5,1.0503,0.6231,0.2216,5.79,1.6784
ANKHD1,5.1277,5.1569,5.1637,4.6329,4.7918
FLVCR2,0.647,1.1349,0.7407,1.5216,1.6672
CELA3A,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ASPN,5.5935,4.6557,5.452,3.1507,4.281
ABT1,3.1773,3.1852,3.1045,3.6486,3.3083
DCPS,3.3032,3.3598,3.3605,4.1844,3.509
DNAJC22,2.4945,2.6078,2.118,-0.1665,2.7132
RNPEP,5.867,6.1082,5.9566,5.4864,5.7864
MARK1,-0.013,0.6045,0.0299,0.9191,0.7915
RASAL1,-0.3022,-1.0152,-1.3365,2.3251,0.5168
PCED1B,2.5149,2.838,2.3047,1.9859,2.704
RMDN3,4.6876,4.5966,4.5546,3.8857,4.4364
SPATA9,-1.5105,-1.7322,-1.4699,-2.0529,-2.1779
CACFD1,4.2947,4.021,4.1808,2.9929,4.4887
MAGED2,8.6786,8.5008,8.932,6.7832,8.0497
BMPR1B,2.929,3.228,4.2618,-0.3022,-1.2146
CYP26A1,-0.5237,-0.9686,-0.1666,-2.2447,-1.7732
TRAPPC2,2.7962,2.9655,2.8858,2.8819,2.6255
TNP2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CLU,9.4888,8.9004,9.3488,8.5043,9.6078
AHDC1,2.556,1.9767,2.4117,2.5658,2.3774
FRG2B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
IFNL1,-5.5735,-3.6259,-5.5735,-2.9324,-3.1714
IL10RB,4.1724,4.0808,4.131,4.4797,4.4367
TUBGCP6,3.2722,2.6985,2.753,2.5876,2.5163
TIMM10B,4.0154,4.0778,4.0666,3.5682,3.8405
OR11H12,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
LRRC58,2.8965,3.2564,3.074,3.2065,3.0243
PRR20C,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TMEM229A,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ST13,7.4081,7.5075,7.4389,7.3344,7.561
FSBP,-0.7467,-0.9134,-0.9406,-0.7834,-1.1351
ARPC3,7.7135,8.0902,8.0054,7.8122,8.2569
SLC26A11,3.2817,3.1978,3.0367,2.6441,2.98
PFDN4,4.6416,5.221,4.8712,5.5668,4.9709
KRTAP29-1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
EFEMP2,5.3156,4.5568,5.1476,4.3765,4.6363
HAVCR1,-5.0116,-4.8099,-5.5735,-5.5735,-4.2934
HRASLS,0.058,0.679,0.0918,2.7742,1.8137
ADH1C,0.2702,-2.5069,-1.3005,-3.458,-1.733
CADM2,-1.5736,-1.8575,-1.1492,-3.0469,-3.3147
BCAR3,4.0742,3.4616,3.7693,2.676,3.526
TLX1,-6.5064,-4.6082,-5.5735,-0.0425,-4.1642
OR6B3,-5.5735,-9.9658,-5.5735,-9.9658,-9.9658
TP53,4.9036,5.0248,4.9808,5.2502,5.039
TMED2,6.9472,7.5237,7.3087,7.1309,7.4637
DPP6,-4.035,-5.5735,-4.2934,-5.5735,-4.8099
AAGAB,4.9482,5.2785,5.2146,4.3604,4.8822
KIAA0141,5.2416,4.8914,5.0322,4.2646,4.5751
GLRX3,5.1096,5.4178,5.2371,5.6775,5.6994
WFDC10B,-5.2926,-4.2934,-4.035,-4.2934,-4.2934
TARM1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MEGF6,3.0542,1.4597,2.1262,1.642,2.2097
SLC39A9,5.1152,5.2652,5.2538,4.245,4.9903
RAB3IL1,2.9262,2.0758,2.5768,2.7161,2.3686
AP3M2,3.0585,3.3278,3.2112,3.0876,2.871
HPR,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658
HLA-DMB,5.6204,5.251,4.97,5.2869,5.3386
TWIST1,2.3774,1.5612,1.932,1.7273,2.0461
CHAD,4.1164,2.5468,4.1591,-1.7322,-0.5988
RGMB,2.7952,2.7763,2.7412,1.9149,2.6018
YEATS4,3.727,4.178,3.8259,3.7507,3.5558
YWHAH,6.5784,6.742,6.629,6.9988,6.81
STX5,5.0406,4.9934,5.0122,4.9714,4.9752
CTIF,3.4444,2.4792,2.8681,3.0446,2.5597
C2orf78,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MOSPD1,2.5388,2.9609,2.739,2.9911,3.0366
FOXI3,-5.5735,-6.5064,-5.5735,-2.3147,-6.5064
ZCCHC18,-1.1492,-2.0529,-1.6394,-0.6643,-1.9942
SYNGAP1,2.4766,1.9895,2.0963,1.6045,1.23
PACRGL,3.0704,2.93,2.9984,2.828,2.4688
MAPK8,3.8808,4.1462,4.1764,4.1523,4.0346
C8B,-9.9658,-9.9658,-6.5064,-9.9658,-6.5064
GAGE12E,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
GPR182,-4.035,-5.0116,-4.2934,-5.0116,-4.6082
HAS2,0.1124,-0.4131,0.0718,0.0014,-0.3474
SCOC,5.4645,5.6595,5.5934,5.073,5.5364
ZC3H12D,-0.9686,-1.2481,-1.5105,-0.7346,-1.0865
MYO3A,-3.458,-4.2934,-3.458,-3.458,-4.2934
C1orf116,2.3606,1.4114,2.0307,3.2796,2.827
ZNF384,4.486,4.4562,4.4579,4.5423,4.2049
EPHA3,-0.1266,-1.0559,-0.6195,-2.3147,-1.5325
KY,-4.2934,-5.0116,-4.2934,-4.2934,-5.0116
SIRT3,4.2327,3.6916,3.9575,2.9562,3.3477
ZP4,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
GSTA5,-9.9658,-9.9658,-9.9658,-4.6082,-9.9658
TCP11L2,2.0289,1.7119,2.0895,1.0503,1.5974
LYRM1,4.4896,4.5485,4.7367,4.1644,4.0998
TMEM145,0.1648,0.7832,0.1518,-2.3147,-1.9379
SEC16A,5.7246,5.7484,5.7869,4.8515,6.0709
MIA3,5.5603,5.299,5.4057,4.9982,5.4339
SAMD8,2.4212,2.3802,2.4818,1.6558,2.036
CETP,-0.6416,-1.071,-0.7834,-0.7346,-0.6083
TRNAU1AP,3.7438,3.8345,3.8571,4.3104,3.9329
GALNT13,-2.3516,-2.0236,-2.0236,-0.3201,-2.146
CRYGD,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
NDUFAF2,4.4122,4.5543,4.4374,4.4906,4.3291
LSM14B,4.5669,4.8575,4.6277,4.8709,4.8615
ZDHHC7,4.2177,4.1779,4.2017,4.2862,4.2335
CHMP4A,5.9442,5.83,5.8474,5.4209,5.5182
COL6A5,-6.5064,-6.5064,-6.5064,-4.6082,-5.5735
DCAF6,5.4707,5.4484,5.3113,5.3477,5.0007
SIGIRR,5.1967,5.0398,5.1232,4.3944,4.7063
TAF11,4.2173,4.4784,4.1982,4.8495,4.648
ELOVL5,6.9026,6.823,7.234,5.2552,6.5652
PWWP2A,2.6441,2.6951,2.694,2.081,2.4636
SOX9,4.4922,3.7002,4.0627,5.2219,4.3847
SOX21,-6.5064,-6.5064,-6.5064,-6.5064,-6.5064
AMY1A,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658
GTF2H2C,3.8808,4.0803,3.9444,3.1781,3.5736
CASZ1,3.5815,2.9429,3.3184,2.4198,2.8838
MRGPRX2,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658
OR5J2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CHRNB4,-4.6082,-3.9255,-4.6082,-3.6259,-3.3076
CDIPT,6.0604,5.983,6.1309,5.753,5.6875
COQ8A,4.4621,4.3299,4.1534,4.7735,3.695
LRRC43,-0.9269,-1.5314,-1.0116,-1.2142,-1.6394
OR7A10,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
HIST1H2BA,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SGMS2,1.5489,1.4492,1.6874,1.8282,1.6466
SERPINB8,1.8683,1.7207,1.9804,2.7784,1.8778
CABLES1,3.6708,3.7741,3.6894,3.1112,3.1906
SAMD1,4.8128,4.7979,4.6086,5.026,4.6958
CEP290,1.8624,2.1605,2.0129,1.1833,1.6604
TRMT10A,2.1064,2.2975,2.2452,1.5013,1.7638
DDX19A,3.641,3.7597,3.7122,4.1466,4.0886
PI4KB,5.5227,5.2496,5.2422,5.7167,5.0354
ABRA,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658
STAB2,-2.7274,-4.2934,-3.6259,-3.816,-3.1092
MYLIP,4.3151,4.1527,4.2672,3.4398,4.1297
AMMECR1L,3.0515,3.1086,3.0978,3.0234,3.0463
SLITRK2,-4.8099,-5.5735,-5.5735,-4.6082,-5.5735
NECTIN4,4.5376,4.1752,4.2758,5.1664,4.6746
CELSR2,3.9714,3.8192,4.4492,3.2435,2.3208
HUWE1,5.474,5.675,5.55,5.85,5.5391
DLEU7,-2.0834,-1.2142,-1.5958,-1.4305,-1.5736
SFT2D2,2.7497,2.7805,2.6862,4.3306,2.5971
MTHFD1,4.7679,5.165,4.8123,5.0644,4.9306
GRXCR1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TRAPPC6A,5.4555,5.1793,5.3202,4.9041,5.1372
POU3F2,-6.5064,-6.5064,-6.5064,-6.5064,-6.5064
COPRS,5.2296,5.5488,5.3524,5.1339,5.2392
FAM151B,0.099,0.455,0.3962,-0.9686,-0.05
EID2,2.6067,2.7248,2.6972,2.8955,2.8945
BDKRB1,-1.165,-0.598,-1.1488,-1.9379,-0.304
VPS37A,4.0194,3.986,4.1502,3.7464,3.5814
PATJ,4.1636,3.7322,4.0383,3.4251,3.4831
CPO,-2.0834,-3.1714,-2.4659,-4.035,-3.542
CCL18,0.4755,1.1349,0.2998,3.4804,3.0613
C6orf48,6.8958,6.4018,6.5911,6.8965,6.219
PKD2L2,-4.6082,-4.8099,-5.0116,-5.0116,-5.5735
TIMM22,2.6862,2.629,2.6704,2.685,2.4701
RPLP0,10.7964,10.5793,10.7249,10.8752,10.6058
GAMT,5.0708,4.884,4.8393,2.0147,3.744
E2F3,2.1798,2.5523,2.2798,3.5982,2.6771
C6orf226,3.0808,3.0472,2.8994,3.0323,3.1136
OPRD1,-4.035,-3.816,-3.3828,-4.035,-3.721
RUSC2,2.6545,1.9895,2.3451,2.3926,1.7932
CPEB1,-0.1109,-1.6394,-0.9686,-1.3183,-1.3014
DZIP1,1.5806,0.6744,1.4066,2.6043,1.0676
SLC44A4,5.8309,5.5853,5.8268,-1.4305,5.4201
HRH2,-1.0559,-1.4902,-1.1976,-1.0262,-1.071
HSPA8,8.9307,9.6774,9.3444,9.418,9.8053
UEVLD,3.4363,3.7458,3.733,2.5804,3.2148
KRT40,-4.6082,-5.5735,-5.0116,-3.816,-4.6082
SLC15A4,3.685,3.7056,3.66,3.7028,3.8404
TTC9,2.7548,2.9766,2.9013,2.043,3.1296
PPP6R3,4.752,5.0154,4.8362,4.5299,4.7739
KRTAP19-3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ASAH1,7.3376,6.8695,7.1486,5.8607,6.3499
MFSD14A,4.373,4.5053,4.4674,4.4595,4.1879
SIX3,-3.458,-4.6082,-4.2934,-0.2159,-3.721
PXDC1,4.3122,3.1449,3.7,4.7143,4.0256
OSM,-0.0956,-0.216,-0.4228,0.5859,0.2149
DGAT2L6,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SCT,-0.7227,-1.0862,-0.6533,-1.2828,-0.3476
EFNA5,1.7206,0.6834,1.2116,3.417,1.3915
METRN,5.8342,5.5854,5.9838,3.1491,5.4453
OR5B3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SLIT3,3.1916,2.1181,2.8779,1.5013,2.3746
ATP5S,3.1086,3.1393,3.0594,2.6715,2.7858
TBPL2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
RHOG,5.3187,5.1609,5.1815,5.4835,5.2212
MS4A6A,5.6212,5.3224,5.1342,5.2627,5.6333
PPP1R10,4.2913,4.4149,4.2736,4.232,4.5463
C19orf35,-2.5479,-3.458,-3.2395,-3.3076,-3.3076
SSC4D,-0.1345,0.4865,0.0786,1.0079,-0.0878
BPY2B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SFRP1,4.2106,0.2642,2.6255,6.5913,1.2191
ZBTB12,2.1146,1.9914,1.9749,2.1247,1.4282
ELAVL2,-1.0262,-1.1976,-1.4902,-0.1031,-1.3005
APOL2,4.1764,4.3306,4.0765,4.0295,4.5034
C2CD4A,-2.6349,-2.6811,-2.3147,-4.2934,1.3566
LRP5L,1.5538,0.9115,0.7748,0.8164,0.8724
SFTA2,-4.035,-4.035,-4.035,-3.816,-9.9658
KCNAB1,0.3796,-0.7346,-0.1425,-0.1187,-0.8866
MAP7D2,-3.6259,-2.5069,-3.3076,-1.0262,-2.9366
TMEM31,-2.3903,-2.4272,-2.4659,-2.114,-1.7809
PKDCC,2.8461,1.7994,2.2812,2.3394,1.5974
SAMD7,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TRPC3,-3.1714,-3.816,-3.3076,-3.6259,-4.035
TNFAIP2,5.4896,5.3642,5.311,6.1512,5.093
PSMB9,5.1783,5.3051,4.9007,5.849,5.3363
ERLIN2,4.3424,4.576,4.6804,3.6486,3.8676
ZSCAN10,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658
NT5C3B,5.1008,5.1431,5.0832,5.2817,4.1435
LACTB2,3.0463,4.0166,3.3842,3.863,3.3076
MDFIC,3.3214,2.828,3.136,3.3966,2.9947
PIEZO1,5.3544,5.1557,5.273,5.7509,5.5994
AGMO,-2.5479,-3.816,-3.6259,-2.9324,-3.4668
UQCR11,7.0067,6.9616,6.9292,6.5491,7.0009
ZNF441,1.5341,1.3022,1.519,0.2154,0.6608
SLC25A15,2.0724,2.2268,2.2175,2.3164,2.0253
KRTAP20-2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
KRTAP4-9,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
FAM19A3,-1.8836,-3.3076,-2.5479,0.5069,-3.6259
SLC11A1,0.9303,1.118,0.8883,1.9415,1.3356
CCDC74A,5.1953,4.3421,4.4374,2.004,2.1196
TM6SF2,-1.3734,-1.2481,-0.711,-1.3548,-1.1976
EDC3,3.6358,3.66,3.648,3.4411,3.4817
BRD2,6.8949,7.048,6.9144,6.8491,6.9073
SLC38A2,5.3222,5.5517,5.434,4.917,5.553
RANBP9,4.1868,4.738,4.4539,4.4304,4.9354
SPOCK3,-3.6259,-6.5064,-3.9255,-6.5064,-6.04
STX17,2.8492,2.876,2.8612,2.5996,2.8491
PHACTR2,2.043,2.0058,2.0827,2.233,2.3643
NFIC,5.4006,5.0955,5.3908,4.6077,5.157
FAM50B,2.8055,2.3091,2.5363,2.3871,2.2314
HTR2B,0.6744,-0.8599,-0.394,-1.7809,-1.071
TRABD2A,-0.3292,-1.3014,-1.0862,-0.3566,-0.3112
WDFY3,3.3178,3.3779,3.5467,2.7805,3.2065
IREB2,3.2274,3.3654,3.3668,2.9875,3.3435
ZFP36L1,7.2259,6.3154,6.6538,6.565,6.634
DCST2,0.3344,-0.711,-0.4423,-0.2328,-0.3942
NMT1,4.7402,4.8552,4.778,4.6006,4.4994
G0S2,4.0601,1.8623,2.3437,2.8522,2.1358
IRF5,2.3164,2.3663,2.2603,2.7357,2.1718
AGGF1,3.3702,3.6212,3.451,2.6395,3.2869
DEFB128,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MUM1,4.2468,3.6788,3.839,3.5073,3.4368
CBSL,-0.1994,0.2275,-1.0559,-0.3022,-0.4837
LRCOL1,-3.6259,-9.9658,-4.8099,-5.5735,-9.9658
HNRNPA1,9.5876,9.4793,9.4973,9.5481,9.2806
EDRF1,3.2181,3.1011,3.0748,3.0842,2.957
SERPINB1,5.0916,4.9558,5.1223,4.3442,4.6696
DNAJC5G,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
IGSF23,-9.9658,-9.9658,-9.9658,-1.8836,-8.2361
CSTF3,4.0014,4.3944,4.1466,4.6577,4.1696
PTGDR,-1.7322,-2.8262,-2.5914,-2.4659,-2.2797
HLA-DOA,3.506,2.535,2.6138,2.8955,2.946
RGPD8,-0.0132,-0.3292,-0.0204,-0.2845,-0.2078
RASSF8,2.4714,2.2175,2.394,1.5216,1.736
ZNF383,1.6397,1.4756,1.4962,1.4756,1.2606
FBXO34,3.4758,3.3821,3.3591,3.1294,3.1572
ASB17,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZNF469,0.6969,-0.2159,0.7013,1.0573,0.2026
AMER3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TMEM8B,3.5387,3.062,3.2966,2.8562,2.6296
FAM20C,4.0968,3.3061,3.928,4.3625,3.6692
COL25A1,-2.5479,-4.2934,-3.1714,-2.8262,-3.9255
ASTN2,2.5658,2.5553,2.6714,0.434,1.9958
INO80C,3.5522,3.6549,3.5724,3.866,3.5578
HEY1,2.1878,1.6234,2.1246,1.614,1.8938
RASSF6,1.0982,-0.4522,0.688,-0.2671,0.7896
TBX22,-5.5735,-6.5064,-5.5735,-9.9658,-9.9658
OTC,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658
FBXW5,5.2032,4.7815,4.9096,4.9603,5.1601
FASN,7.5166,7.7345,7.7313,6.4488,8.0712
HBD,-5.5735,-5.5735,-9.9658,-9.9658,-7.7696
LRP1B,-2.4681,-4.035,-3.3076,-5.0116,-5.5735
CXXC4,0.6789,0.6001,0.542,-0.9406,0.3177
SPERT,-9.9658,-6.04,-6.5064,-5.5735,-4.1642
GPALPP1,3.0748,2.9432,3.1548,2.8341,2.8779
PLAGL1,2.3606,1.334,1.7141,3.208,1.6692
C17orf107,1.2022,-0.0351,0.5907,0.24,-0.305
MS4A1,0.058,-1.2828,-0.8474,0.346,1.1217
ZCCHC2,2.74,3.002,2.7422,2.8381,2.8033
MGRN1,4.748,4.546,4.753,4.1563,4.3741
NXF1,5.293,5.0484,5.0418,5.2464,5.0135
TM4SF5,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MNAT1,4.3978,4.7756,4.4846,3.9673,4.4656
WBP11,4.6697,5.0501,4.8398,4.7682,4.6531
KLHL12,4.4664,4.6464,4.4476,4.0001,3.9732
AGPAT2,5.2638,4.7168,4.8768,4.8992,5.087
C11orf65,-1.1811,-0.9686,-1.0262,-1.7322,-1.1984
TLR9,-3.3076,-4.6082,-4.2934,-3.3076,-3.6259
SPRR3,-9.9658,-5.5735,-9.9658,-5.5735,-4.8099
FAM200A,2.2066,2.1542,2.2558,1.9601,1.6694
